,chr,start,end,peak,label,phastcons_mean,phastcons_max,phylop_mean,phylop_max,d2msn_jsd,d2msn_jaccard
562,chr19,15652023,15652599,cCREs238460,chr19:15652023-15652599_cCREs238460,0.2592000022530555,0.3079999983310699,0.4739199984353036,2.71399998664856,0.6004108962311971,0.6
773,chr19,4844085,4844648,cCREs236820,chr19:4844085-4844648_cCREs236820,0.7825399971008301,0.8820000290870667,0.2672600027918815,0.5690000057220459,0.6111524905195346,0.2
876,chrX,46463696,46464201,cCREs482007,chrX:46463696-46464201_cCREs482007,0.9248800003528594,1.0,1.3181199915055186,3.246000051498413,0.6149860912459916,0.5
687,chr3,45778763,45779303,cCREs293099,chr3:45778763-45779303_cCREs293099,0.0002199999988079,0.0109999999403953,0.004699999988079,0.2349999994039535,0.6073501356385227,0.6
7,chrX,119101006,119101543,cCREs487414,chrX:119101006-119101543_cCREs487414,0.0804400000721216,0.1289999932050705,0.1318999981880187,0.277999997138977,0.4887340351519348,0.0
721,chr14,94918099,94918645,cCREs155864,chr14:94918099-94918645_cCREs155864,0.5046399994194508,0.8659999966621399,0.4195600010827183,1.0440000295639038,0.6087973054172789,0.4285714285714285
47,chr5,137698888,137699444,cCREs372746,chr5:137698888-137699444_cCREs372746,0.3392200019955635,0.5260000228881836,0.1727399986982345,0.277999997138977,0.5337997182883407,0.3333333333333333
413,chr7,71062364,71062883,cCREs413475,chr7:71062364-71062883_cCREs413475,0.9991200006008149,1.0,1.8654999768733975,3.220000028610229,0.5908502457297315,0.25
311,chr12,86537228,86537795,cCREs108358,chr12:86537228-86537795_cCREs108358,0.3568399994075298,0.5320000052452087,0.176499997973442,0.277999997138977,0.5811974966425215,0.5555555555555556
265,chr13,66414373,66414897,cCREs127839,chr13:66414373-66414897_cCREs127839,0.0,0.0,0.0,0.0,0.5763381345918281,0.5
154,chr12,107834422,107834961,cCREs112851,chr12:107834422-107834961_cCREs112851,0.0217200002074241,0.1620000004768371,0.1100400004908442,1.3580000400543213,0.5637648035674037,0.5555555555555556
188,chr10,102676258,102676761,cCREs60479,chr10:102676258-102676761_cCREs60479,0.3147600023448467,0.4490000009536743,0.248200000450015,1.0540000200271606,0.568765143115475,0.5
174,chr11,52203630,52204154,cCREs76550,chr11:52203630-52204154_cCREs76550,0.4000999993085861,0.5569999814033508,0.1875999999046325,0.277999997138977,0.5661511610719053,0.2
870,chr13,100421366,100421903,cCREs134237,chr13:100421366-100421903_cCREs134237,0.2158800008147955,0.6690000295639038,0.3021199944615364,0.8109999895095825,0.6148534595383742,0.5
789,chr5,150061929,150062449,cCREs375325,chr5:150061929-150062449_cCREs375325,0.4311200031638145,0.5490000247955322,0.1971200001239776,0.277999997138977,0.6118937986695467,0.5
833,chr8,35508412,35508936,cCREs434497,chr8:35508412-35508936_cCREs434497,0.369560000449419,0.6240000128746033,0.3356399946659803,0.8399999737739563,0.6133282697716377,0.4285714285714285
575,chr9,77565476,77566010,cCREs469179,chr9:77565476-77566010_cCREs469179,0.4948799991607666,0.6159999966621399,0.1997799974679946,0.277999997138977,0.6013316907738006,0.5555555555555556
86,chr9,7642970,7643501,cCREs454464,chr9:7642970-7643501_cCREs454464,0.3375200019776821,0.5460000038146973,0.2990000005997717,3.131999969482422,0.5493543193239081,0.0
512,chr6,73361221,73361747,cCREs389380,chr6:73361221-73361747_cCREs389380,0.5244999967189505,1.0,0.76681999579072,2.674000024795532,0.5978061657898515,0.6
140,chrX,82776787,82777316,cCREs484844,chrX:82776787-82777316_cCREs484844,0.2572799988090992,0.8539999723434448,0.5298399964161217,1.837000012397766,0.5615876467485168,0.4285714285714285
